timestamp,energy,protein,fat,carb,salt
2026-02-27 04:46:38,149,5.5,6.9,28.2,1.59
2026-02-27 08:22:38,433,21.6,13.4,84.4,3.61
2026-02-27 16:25:38,79,1.2,5.9,9.8,0.34
2026-02-27 21:25:38,522,8.4,15.9,100.1,0.73
2026-02-28 05:26:38,336,5.2,14.8,60.0,0.71
2026-02-28 16:38:38,785,38.6,40.5,147.5,0.68
2026-03-01 05:08:38,354,15.0,11.9,38.8,0.58
2026-03-01 16:31:38,715,22.7,30.9,141.7,1.91
2026-03-02 02:59:38,254,3.4,7.7,34.1,0.15
2026-03-02 10:17:38,384,18.7,15.7,76.6,2.52
2026-03-02 23:03:38,173,5.0,8.7,18.8,2.86
2026-03-03 09:58:38,363,10.4,11.3,49.0,2.15
2026-03-03 19:53:38,348,15.1,19.6,64.2,1.35
2026-03-04 06:40:38,719,22.7,50.9,93.1,3.41
2026-02-03 17:22:28,139,1.4,2.2,28.5,0.02
2026-02-04 13:30:14,139,1.4,2.2,28.5,0.02
2026-02-04 13:36:13,14.1,0,0,3.52,0.004
2026-02-04 15:28:42,14.1,0,0,3.52,0.004
2026-02-04 15:30:09,139,1.4,2.2,28.5,0.02
2026-02-04 15:44:32,139,1.4,2.2,28.5,0.02
2026-02-04 15:53:06,139,1.4,2.2,28.5,0.02
2026-02-16 12:31:20,139,1.4,2.2,28.5,0.02
2026-02-18 14:11:39,139,1.4,2.2,28.5,0.02
2026-02-18 14:23:54,139,1.4,2.2,28.5,0.02
2026-02-18 15:57:43,139,1.4,2.2,28.5,0.02
2026-02-18 16:03:00,139,1.4,2.2,28.5,0.02
2026-02-18 16:09:42,139,1.4,2.2,28.5,0.02
2026-02-18 16:12:03,139,1.4,2.2,28.5,0.02
2026-02-18 16:19:23,139,1.4,2.2,28.5,0.02
2026-02-18 16:21:49,139,1.4,2.2,28.5,0.02
2026-02-18 16:42:42,139,1.4,2.2,28.5,0.02
